NAME,URL,EMAIL,WEBSITE
烘之豆專業咖啡店(品蕎專業咖啡店),https://www.iyp.com.tw/0922357676,angel1688@yahoo.com.tw,http://www.roast-beans2003.com
巴登咖啡專賣店,https://www.iyp.com.tw/055264905,service@barden.com.tw,http://www.barden.com.tw/
葫堤園,https://www.iyp.com.tw/039222966,i039222966@ubbn.net,http://www.ete.com.tw/ht/
布雷克庭園咖啡,https://www.iyp.com.tw/035972070,black.cafe@msa.hinet.net,
西@版納餐廳,https://www.iyp.com.tw/055840110,coffee@mail.s-b.com.tw,http://www.s-b.com.tw/
雲頂咖啡坊,https://www.iyp.com.tw/055900369,yunding7@xuite.net,http://blog.xuite.net/yunding7/welcome
琲豆咖啡,https://www.iyp.com.tw/077762925,pearlbeans88@yahoo.com.tw,http://hipage.hinet.net/琲豆
牛山呼庭,https://www.iyp.com.tw/038601400,huting.valas@msa.hinet.net,
林炳煌,https://www.iyp.com.tw/082323237,henrylinbh@yahoo.com.tw,
嘉川吉室內裝潢 | 系統櫥櫃 | 窗簾壁紙,https://www.iyp.com.tw/088350262-2,ucs128889@gmail.com,https://www.iyp.com.tw/088350262/
Salon 'de The' 法國紅茶‧花草茶‧咖,https://www.iyp.com.tw/0223949440,hohoward@seed.net,http://www.salondethe.com.tw
上越餐飲店,https://www.iyp.com.tw/062212978-2,j6846@ms27.hinet.net,http://www.3a2s.com.tw
黃金海岸藝品商行（黃金海岸休閒餐廳）,https://www.iyp.com.tw/089281828,chen400469@yahoo.com.tw,
客喜康珈琲館,https://www.iyp.com.tw/0424820274,service@kohikan.com,http://www.kohikan.com
歐舍咖啡有限公司,https://www.iyp.com.tw/0422209388-2,oscoffee@seed.net.tw,
柚香柚園（楊美娥）,https://www.iyp.com.tw/065703766,luckystrike332@yahoo.com.tw,
成普企業有限公司,https://www.iyp.com.tw/0229997800,b8477595@ms23.hinet.net,http://www.streetnet.com.tw/cpu
Somebody Caf'e,https://www.iyp.com.tw/0223753761,somebodycafe@gmail.com,
胖達義式咖啡商行,https://www.iyp.com.tw/0424717917,panda8559@yahoo.com.tw,http://www.pandahouse.com.tw
LUCID,https://www.iyp.com.tw/075520711,hello@lucid.tw,http://lucid.tw
咖啡19 (Coffee 19),https://www.iyp.com.tw/073592312,saeco.cafe19@msa.hinet.net,http://www.coffee19.com.tw/
哈里歐咖啡館,https://www.iyp.com.tw/072511458,hectocf@ms61.hinet.net,http://www.hecto.com.tw
樹園咖啡館,https://www.iyp.com.tw/073832673,iam.we@msa.hinet.net,
采奕飲食坊,https://www.iyp.com.tw/0222237740,service@renn.com.tw,http://www.renn.com.tw
賴原在,https://www.iyp.com.tw/0425366189,fts188@pchome.com.tw,http://www.fts888.com
頤采美食股份有限公司,https://www.iyp.com.tw/0222592919-1,molay.cafe@msa.hinet.net,
陳忠勇,https://www.iyp.com.tw/048759801,wankan@psn.com.tw,
卡拉瓦里咖啡有限公司,https://www.iyp.com.tw/0229258685,eecoffee@caravali.com.tw,http://www.caravali.com.tw
喜蕾咖啡專門店,https://www.iyp.com.tw/0225813445,best_coffee@pchome.com.tw,
就是葉企業社,https://www.iyp.com.tw/0288666175,cafe_chez_moi@hotmail.com,
波希米亞人咖啡有限公司,https://www.iyp.com.tw/0225500421,la.boheme@msa.hinet.net,http://www.cafelaboheme.com.tw
蜂大食品有限公司,https://www.iyp.com.tw/0223316110,foda@ms18.hinet.net,
醞釀企業有限公司,https://www.iyp.com.tw/0225161787,brewcafe@brewcafe.com,http://www.brewcafe.com
漫舞咖啡,https://www.iyp.com.tw/0225178552-1,dancer.coffee@msa.hinet.net,
艾箕諾咖啡,https://www.iyp.com.tw/072850368,service@caffeartigiano.com.tw,http://www.artigiano.com.tw
陽光泉源,https://www.iyp.com.tw/072369003,davidoff123kimo@hotmail.com,
吧嚕實業有限公司,https://www.iyp.com.tw/087220865,WNSAN2004@HOTMAIL.COM,
巴塔維亞咖啡/披薩,https://www.iyp.com.tw/039548933,eyeline622@hotmail.com,
花蓮美食‧潗饌生活坊,https://www.iyp.com.tw/038463858,a48b10c09@yahoo.com.tw,
陳建源,https://www.iyp.com.tw/038574808,yuan0918@ms5.hinet.net,http://www.enlightening.com.tw
仙蒂 ping house,https://www.iyp.com.tw/0289212554,kis80731@yahoo.com.tw,
蝶工坊,https://www.iyp.com.tw/0226651686,eclosionart@gmail.com,
雲茵餐飲店,https://www.iyp.com.tw/034853833,yunyin2012@yahoo.com.tw,
COFFEE BREAK,https://www.iyp.com.tw/0225213786,2011.coffee.break@gmail.com,
元錦股份有限公司,https://www.iyp.com.tw/0227598545,show8829@hotmail.com,
卡卡爾,https://www.iyp.com.tw/0228321340,juliagal@ms34.hinet.net,
啡悅咖啡店,https://www.iyp.com.tw/0223052473,shihabc123@yahoo.com.tw,
貝斯特咖啡館,https://www.iyp.com.tw/0287926856,cqnhpp98@ms68.hinet.net,
頌夏有限公司,https://www.iyp.com.tw/0228881100-2,info@lighterside.com.tw,
85度C大里成功店,https://www.iyp.com.tw/0424952688,tp311071@ms8.hinet.net,
樂生活餐飲店,https://www.iyp.com.tw/0425283377-1,sweethouse101@gmail.com,
葉世鵬（快樂方舟）,https://www.iyp.com.tw/0424873232,qq_zo88@yahoo.com.tw,
阿里曼人文咖啡館,https://www.iyp.com.tw/0492512327,aleman0492510081@gmail.com,http://www.xn--vovx66gv1c.tw
國姓九份二山咖啡,https://www.iyp.com.tw/0492721430,chieh0114@yahoo.com.tw,
艾斯咖啡蛋糕,https://www.iyp.com.tw/055377950,icegabee@hotmail.com,
