NAME,URL,EMAIL,WEBSITE
勝興蜜餞,https://www.iyp.com.tw/048313965,l77885430@yahoo.com.tw,http://www.shengshing.com.tw
龍虎商行,https://www.iyp.com.tw/073506426,Lofu168@gmail.com,http://www.lofu.com.tw
山蘭名產城,https://www.iyp.com.tw/039774610,jimmy8849@yahoo.com.tw,http://www.shan-lan.com.tw/shanlan
東南蜜餞行,https://www.iyp.com.tw/039323363,sales@yilancake.com.tw,http://www.yilancake.com.tw
李子衡,https://www.iyp.com.tw/062241710,2979306@giga.net.tw,http://www.anping-shop.com.tw
林永泰興蜜餞行,https://www.iyp.com.tw/062259041,chycutashing@yahoo.com.tw,http://www.chycutayshing.com.tw
禾園古味梅舖,https://www.iyp.com.tw/062280796,a52010356@xuite.net,http://hipage.hinet.net/禾園
黃日香股份有限公司豆干,https://www.iyp.com.tw/033885456,hrs.t5456@msa.hinet.net,
幸記食品有限公司,https://www.iyp.com.tw/048316039,shiow.hrong@msa.hinet.net,http://www.singji.com.tw
林桔園蜜餞行,https://www.iyp.com.tw/048351196,carl_ool@hotmail.com,
新旺食品有限公司,https://www.iyp.com.tw/034605566,shin.wang168@mas.hinet.net,http://www.shin-shin.com.tw
玉美珍食品行,https://www.iyp.com.tw/052621079,ymcplum@gmail.com,http://www.ymcplum.com.tw
采豐食品農產直銷商,https://www.iyp.com.tw/0229734701,a0800528527@yahoo.com.tw,
健康食品有限公司,https://www.iyp.com.tw/043226039,hhcb@126.com,
安平老街蜜餞食品行,https://www.iyp.com.tw/063583688,fanwanguncle@gmail.com,
大發行,https://www.iyp.com.tw/0422360326-1,yvette1615@yahoo.com.tw,
大立國際貿易公司,https://www.iyp.com.tw/077408787,smallkk2002hhw@gmail.com,http://www.hhw2013.com
豐譽食品工業股份有限公司,https://www.iyp.com.tw/033075075-1,walter.ll@msa.hinet.net,
