NAME,URL,EMAIL,WEBSITE
大安區美食.和平東路美食.台北烤鴨.北平稻香村麵食,https://www.iyp.com.tw/0223652983,bp0960067110@gmail.com,http://bluehero.pixnet.net/blog/post/40789714
"冷藏臭豆腐批發製造,顯新食品有限公司",https://www.iyp.com.tw/0426981941,mitdanhuang@gmail.com,http://www.mit-dango.com
久代食品加工廠,https://www.iyp.com.tw/055850201,dj791219@gmail.com,
三船の鰻丼,https://www.iyp.com.tw/062085703,gas2288@yahoo.com.tw,http://www.xn--ehq358j.tw
三媽臭臭鍋-壯圍同安店,https://www.iyp.com.tw/039371222,service@chyp.com.tw,https://www.facebook.com/039371222a/
邱麻麻鍋底專家-麻辣鍋底推薦、麻辣鍋底宅配、火鍋鍋,https://www.iyp.com.tw/0980170720,chiumama1102@gmail.com,http://www.chiumama.com.tw
吉悠趣精品咖啡民宿,https://www.iyp.com.tw/0910673897,a0910673897@gmail.com,
小胖鮮鍋,https://www.iyp.com.tw/0423330918,shiaupan456@gmail.com,http://www.shiaupan.com.tw
联亭泡菜鍋,https://www.iyp.com.tw/0424515167,foursister63@yahoo.com.tw,
北極餐廳有限公司,https://www.iyp.com.tw/0423136363,i9002@ms31.hinet.net,http://www.cold.com.tw
東東迷你火鍋,https://www.iyp.com.tw/072886880,s2886880@hotmail.com,
天香皇品 一鍋一烤(花壇店),https://www.iyp.com.tw/047862511,a0987351253@gmail.com,https://restaurant-94466.business.site/?m=true
鳳蘭食品行（天下十六鍋）,https://www.iyp.com.tw/0229086778-2,a0938710383@yahoo.com.tw,http://www.world16.com.tw
一鼎豐麻辣香,https://www.iyp.com.tw/0422990918-1,ctltt@centralthinktank.com.tw,http://www.eating-fun.com/
彰記麻辣火鍋店,https://www.iyp.com.tw/047224380,zchangji161@yahoo.com.tw,http://zchangji.iboss.tw
可利亞南京店,https://www.iyp.com.tw/0227569562,kyworg@ms69.hinet.net,
吳記麻辣鴛鴦火鍋,https://www.iyp.com.tw/0227480066,wugimala@pchome.com.tw,http://home.pchome.com.tw/shop/wugimala/
三澧企業股份有限公司,https://www.iyp.com.tw/0225018166,fifilee@humaxasia.com.tw,http://www.humaxasia.com.tw
阿紅的涮涮鍋,https://www.iyp.com.tw/0225112211,zhangxiaohong54126@yahoo.com.tw,
霸王川菜餐廳股份有限公司,https://www.iyp.com.tw/0225521243,service@hpw.com.tw,http://www.hpw.com.tw
兩披索辣妹,https://www.iyp.com.tw/0229496056,two.pesos@msa.hinet.net,
小松泰式,https://www.iyp.com.tw/0223250078,jesson1021@hotmail.com,
御璽,https://www.iyp.com.tw/0227782955,yuxi2007tw@yahoo.com.tw,
老疊香,https://www.iyp.com.tw/062369297,jennifer.133@hotmail.com,
京醇麻辣鴛鴦火鍋(小港店),https://www.iyp.com.tw/078018061,service@kinghot.com.tw,
嗅香臭臭鍋,https://www.iyp.com.tw/039362441-2,sandy1319@hotmail.com,
三媽臭臭鍋,https://www.iyp.com.tw/0229275379,juhome928@yahoo.com.tw,
川饕麻辣58(汐止店),https://www.iyp.com.tw/0286421606,html58@hotmail.com.tw,
八媽廚房小吃店,https://www.iyp.com.tw/034336339,aphb0816@yahoo.com.tw,
元鍋涮涮鍋,https://www.iyp.com.tw/0227209288-1,marylin121212@yahoo.com.tw,
圍爐酸菜白肉火鍋,https://www.iyp.com.tw/0227313439,WeiLuHotPot@gmail.com,http://www.weilu.com.tw
柳村一品鍋(台北永吉店),https://www.iyp.com.tw/0227662966,willow.village@gmail.com,
石碇公臭臭鍋,https://www.iyp.com.tw/0227603198,sanji0724@yahoo.com.tw,
雅香食品有限公司,https://www.iyp.com.tw/0223113146,yh.cash@msa.hinet.net,
過鍋癮頂級小火鍋美村店,https://www.iyp.com.tw/0423751560,wang7382@ms47.hinet.net,
鍋藏西隄,https://www.iyp.com.tw/0422635889,pc90020@hotmail.com,
袖珍小館,https://www.iyp.com.tw/073361504,jasonchang185@seed.net.tw,
帝王薑母鴨(南崁中正北路店),https://www.iyp.com.tw/033210214,A760708A@gmail.com,http://https://www.facebook.com/gingerduck.duck
百花窯鍋品,https://www.iyp.com.tw/033261113,flowerskiln@gmail.com,http://www.flowerskiln.com.tw
天香回味復北店,https://www.iyp.com.tw/0227130477-1000,wei_chih@mail2000.com.tw,http://www.27130477.com.tw
