NAME,URL,EMAIL,WEBSITE
全合成股份有限公司,https://www.iyp.com.tw/052062101,chang688@so-net.net.tw,http://www.achen.com.tw
宗璟企業有限公司 永豐餘紙餐和經銷商 嵐藝企業公司,https://www.iyp.com.tw/0229009288,Packing.com@msa.hinet.net,http://www.jjpacker.com.tw
小帆船小吃店,https://www.iyp.com.tw/072362233,hank05242002@hotmail.com,http://www.fanchuan.com.tw
統鮮美食股份有限公司,https://www.iyp.com.tw/0202-28,service@tongshian.com.tw,http://www.tongshian.com.tw
三船の鰻丼,https://www.iyp.com.tw/062085703,gas2288@yahoo.com.tw,http://www.xn--ehq358j.tw
大都邑餐廳,https://www.iyp.com.tw/073850000-2,dadoit3850000@gmail.com,http://www.dadoit.tw
孕坊月子餐、高雄月子餐、產後調理、小產餐、開刀調理,https://www.iyp.com.tw/075506240,nina551025@yahoo.com.tw,http://www.yunfang.com.tw
關山便當,https://www.iyp.com.tw/0229102222,whitesutw@gmail.com,http://www.xn--wtq522abrt2t3a.tw
鎮發餅店,https://www.iyp.com.tw/033861689-2,service@chyp.com.tw,
全順餐盒食品工廠,https://www.iyp.com.tw/039233599,CSFOOD@SEED.NET.TW,
游振龍,https://www.iyp.com.tw/039889182,yukarry01@yahoo.com.tw,
陳佳惠,https://www.iyp.com.tw/039982669,fair56@gigigaga.com.tw,
林國超,https://www.iyp.com.tw/035574307,cshj171@csh.org.tw,
源味達快餐亭,https://www.iyp.com.tw/037335811,mls0678@cht.com.tw,
悟饕池上飯包（屏東自由店）,https://www.iyp.com.tw/087372737,vivwinss@yahoo.com.tw,http://tw.club.yahoo.com/clubs/16888888/
花蓮人自助餐,https://www.iyp.com.tw/087390098,lsj2219@yahoo.com.tw,
千代采食,https://www.iyp.com.tw/0228711087,hbentobox@gmail.com,https://www.facebook.com/hbentobox/
希望平台股份有限公司,https://www.iyp.com.tw/034255204,eyessing530@gmail.com,
東霖排骨,https://www.iyp.com.tw/089355661,sltsaii@ms53.hinet.net,
正一飯包（家鄉池上飯包）,https://www.iyp.com.tw/089863521,csv863521@cstown.com.tw,http://www.cstown.com.tw
芳鄰自助餐,https://www.iyp.com.tw/089771772-2,fon75828@ms53.hinet.net,
邱志宏,https://www.iyp.com.tw/089811100,chiou.sir@msa.hinet.net,http://chiou-sir.myweb.hinet.net/
味仙餐飲有限公司,https://www.iyp.com.tw/0229072897,supercindy9@hotmail.com,http://www.weisian.com.tw
榮美食品有限公司,https://www.iyp.com.tw/0422610520,eu.nilk@msa.hinet.net,http://www.lonmafood.com.tw
劉敏雄,https://www.iyp.com.tw/0425202738,Toshi.liou@hwacom.com,
吳明興,https://www.iyp.com.tw/0426317460,13141644@ms42.hinet.net,
張桂香,https://www.iyp.com.tw/0425623245,A105168@YAM.COM,
鉅登團膳食品有限公司,https://www.iyp.com.tw/0227852196-2,boss.wang9@msa.hinet.net,http://www.sin-sin.com.tw/index.html
阿義快餐便當（大翰外餐店）,https://www.iyp.com.tw/073475111-2,ayi.snack@msa.hinet.net,http://ayifastfood.myweb.hinet.net/
陳雅雯,https://www.iyp.com.tw/048955287,anita929@ms61.hinet.net,
沅益食品有限公司,https://www.iyp.com.tw/033753939,v3755959@pchome.com.tw,
西鹿實業有限公司,https://www.iyp.com.tw/0286671100,hirock@ms45.hinet.net,
莊記燒臘便當,https://www.iyp.com.tw/0226329518,julia.yuchi@gmail.com,
士福實業股份有限公司,https://www.iyp.com.tw/0287912437,le5612@ms74.hinet.net,
台益菲式餐飲,https://www.iyp.com.tw/0422777428,JACKL119@GMAIL.COM,
大同自助美食坊,https://www.iyp.com.tw/072850961,meiga.lai@msa.hinet.net,
阿毛小廚,https://www.iyp.com.tw/076126650,gt6114680@yahoo.com.tw,http://https://www.facebook.com/#!/groups/mou6126650/
BUFF(多多)自助便當坊,https://www.iyp.com.tw/0224278347,c288342451@yahoo.com.tw,
一口香菜飯,https://www.iyp.com.tw/0222181717,ca87792326@yahoo.com.tw,
渡三餐便當,https://www.iyp.com.tw/0226252000,ohsorry@giga.net.tw,
湉湉日式盒餐店,https://www.iyp.com.tw/034524390,chen18177021@kimo.com,
小味豆滷肉飯,https://www.iyp.com.tw/0228942866,dodou0857@gmail.com,
珍味香港燒臘店,https://www.iyp.com.tw/0422259946,kiki666tw@pchome.com.tw,
珍鮮便當,https://www.iyp.com.tw/0423758773,594fresh@gmail.com,
超吉飯桶永福店,https://www.iyp.com.tw/0424629190,em8888520@yahoo.com.tw,
八饌燒烤餐盒,https://www.iyp.com.tw/0222900181,bbban1024@gmail.com,http://https://www.facebook.com/bazh1119
永全免洗餐具.食品原料行,https://www.iyp.com.tw/062394503-1,apple2396441@gmail.com,http://www.yongchin.com.tw
神川實業社,https://www.iyp.com.tw/0229388225,Transformers162@yahoo.com,http://www.shen-chuan.com.tw
珍品味小吃店,https://www.iyp.com.tw/0227375544,jhenpinwe27375544@gmail.com,http://www.jhenpinwei.com.tw
親加親有限公司,https://www.iyp.com.tw/035355199-1,kissdear927@yahoo.com.tw,
