NAME,URL,EMAIL,WEBSITE
梅子土雞,https://www.iyp.com.tw/038321022,iris002003@gmail.com,
常春藤素食餐廳/花蓮素食餐廳 吃到飽餐廳,https://www.iyp.com.tw/038569069,ivyhope.co@msa.hinet.net,https://www.facebook.com/ivyhost22
臻好事業有限公司(酵素.泡澡粉.泡腳粉.養生能量茶,https://www.iyp.com.tw/0229830016,greenmac168@gmail.com,https://tw.bid.yahoo.com/booth/臻好有限公司-Y8663103595?bfe=1
御田食品有限公司,https://www.iyp.com.tw/087528419,tsungche0303@yahoo.com.tw,http://www.u-tian.com.tw
蔴鑽農坊,https://www.iyp.com.tw/065717811,supermatou01@yahoo.com.tw,http://www.supermatou.com.tw
大進利商行(高雄年貨、南北貨、批發大盤商),https://www.iyp.com.tw/072854656,dajinli.tw@gmail.com,http://www.2854656.com.tw
味忠養生食品,https://www.iyp.com.tw/033639000,hsu0917605907@gmail.com,http://health.juma.com.tw/
天天健康廚坊饅頭堅果,https://www.iyp.com.tw/047514115,leojoffson@yahoo.com.tw,http://ddhealth2015.blogspot.tw
綠豐農業有限公司,https://www.iyp.com.tw/077163801,lufengfarm@gmail.com,http://www.lu-feng.com.tw
祺人益世坊,https://www.iyp.com.tw/037663365,info@chirons.tw,http://chirons.tw
94水果,https://www.iyp.com.tw/075588082-1,service@Jui-cee.com.tw,http://www.jui-cee.com.tw
常春藤商店,https://www.iyp.com.tw/038569069-1,ivyhope.co@msa.hinet.net,https://www.iyp.com.tw/038569069
淨康園生機坊,https://www.iyp.com.tw/0222767837,ok505ok27@yahoo.com.tw,
良心麵,https://www.iyp.com.tw/0229677582,niceman582@hotmail.com,
十五度生技開發農產品有限公司,https://www.iyp.com.tw/0229345345,fifteendo@gmail.com,
無毒的家-光復店,https://www.iyp.com.tw/035740086,yogi.house@msa.hinet.net,
元緣圓自然生活工坊,https://www.iyp.com.tw/0424062883,jack12.chen23@msa.hinet.net,
台灣好農,https://www.iyp.com.tw/0287803000,service@wonderfulfood.com.tw,https://www.wonderfulfood.com.tw/Client/index.aspx
隆貴企業股份有限公司,https://www.iyp.com.tw/062761345,lon.grace@msa.hinet.net,http://www.longrace.com.tw
御田食品有限公司,https://www.iyp.com.tw/087528421,tsungche0303@yahoo.com.tw,http://www.u-tian.com.tw/
