NAME,URL,EMAIL,WEBSITE
常春藤素食餐廳/花蓮素食餐廳 吃到飽餐廳,https://www.iyp.com.tw/038569069,ivyhope.co@msa.hinet.net,https://www.facebook.com/ivyhost22
大安區美食.和平東路美食.台北烤鴨.北平稻香村麵食,https://www.iyp.com.tw/0223652983,bp0960067110@gmail.com,http://bluehero.pixnet.net/blog/post/40789714
清真黃牛肉麵館,https://www.iyp.com.tw/0223318203,aa31370@yahoo.com.tw,https://www.facebook.com/Yushan23318203/
元山水產,https://www.iyp.com.tw/053731000,mm819819@yahoo.com.tw,http://www.wonsan.com.tw
九斤二日式無煙燒肉 台北餐廳/台北燒肉餐廳,https://www.iyp.com.tw/0227534591,s972.s972@gmail.com,http://www.facebook.com/972ya
吉祥海鮮樓(捷運美食/台菜海鮮古早味/婚宴服務),https://www.iyp.com.tw/0225674902,yu25810946@yahoo.com.tw,http://www.facebook.com/吉祥樓-652585244782933/
西海岸活蝦之家.員林泰國蝦,https://www.iyp.com.tw/048398789,yirong628@yahoo.com.tw,http://www.facebook.com/台南西海岸活蝦之家-員林店-至善街-986802904691400
嘉義西門町宴會場-嘉義宴會餐廳,https://www.iyp.com.tw/052356883,kao0725a@yahoo.com.tw,https://catering-service-1642.business.site/
聯信不銹鋼餐飲設備|台中餐飲設備|台中食品機械|台,https://www.iyp.com.tw/0422137938,liansin18@yahoo.com.tw,http://www.22137938.com.tw
晶頂101餐廳,https://www.iyp.com.tw/072261122-1,tt.tw@msa.hinet.net,http://www.king101.tw
阿德師快煮麵,https://www.iyp.com.tw/077660768,ksf931335@yahoo.com.tw,http://www.yder.com.tw
翔嘉屋有限公司,https://www.iyp.com.tw/076128989,jack6128989@yahoo.com.tw,http://www.6128989.com.tw
小帆船小吃店,https://www.iyp.com.tw/072362233,hank05242002@hotmail.com,http://www.fanchuan.com.tw
新紅館餐廳,https://www.iyp.com.tw/087798899,redmill88@yahoo.com.tw,http://www.newredresort.com.tw
方愫馨草屯手工麻糬(老店),https://www.iyp.com.tw/0492391703,fangsuxi8888@gmail.com,http://www.方愫馨草屯麻糬.tw
李燈燦製油廠 DENG-TSAN LEE’S OI,https://www.iyp.com.tw/0303-12,piyu035@gmail.com,http://www.leesoil.com.tw
高雄優惠購買票券網,https://www.iyp.com.tw/073388395,hanbin3385076@gmail.com,http://www.ksticket.com.tw
大都邑興業有限公司,https://www.iyp.com.tw/073850000-1,s10552@chyp.com.tw,http://www.3850000.com.tw
櫻日本料理,https://www.iyp.com.tw/055330966,joycechen0211@hotmail.com,http://www.sakuraryuri.com.tw
東港強日本和牛專賣店,https://www.iyp.com.tw/076963203,tk0906959992@gmail.com,http://www.xn--11tz6p7wf.tw
