NAME,URL,EMAIL,WEBSITE
元山水產,https://www.iyp.com.tw/053731000,mm819819@yahoo.com.tw,http://www.wonsan.com.tw
吉祥海鮮樓(捷運美食/台菜海鮮古早味/婚宴服務),https://www.iyp.com.tw/0225674902,yu25810946@yahoo.com.tw,http://www.facebook.com/吉祥樓-652585244782933/
嘉義西門町宴會場-嘉義宴會餐廳,https://www.iyp.com.tw/052356883,kao0725a@yahoo.com.tw,https://catering-service-1642.business.site/
晶頂101餐廳,https://www.iyp.com.tw/072261122-1,tt.tw@msa.hinet.net,http://www.king101.tw
櫻日本料理,https://www.iyp.com.tw/055330966,joycechen0211@hotmail.com,http://www.sakuraryuri.com.tw
車城海忠天餐廳/墾丁海中天餐廳,https://www.iyp.com.tw/088822880,kuanchiehwang1022@gmail.com,https://www.facebook.com/墾丁海中天餐廳-1407402459517576
大都邑餐廳,https://www.iyp.com.tw/073850000-2,dadoit3850000@gmail.com,http://www.dadoit.tw
大福樂海鮮飯店,https://www.iyp.com.tw/088752411,cpc640805@gmail.com,http://www.tafoodload.com.tw
楊明宗,https://www.iyp.com.tw/035380921,880189@ITRI.ORG.TW,
東部賞鯨一號,https://www.iyp.com.tw/038781041,gogy1218@gmail.com,
竹園海產店,https://www.iyp.com.tw/038880391,us377595@ms.chtn.com.tw,
竹陽海鮮餐廳,https://www.iyp.com.tw/038353178-1,johnny@juyan.com.tw,
好口味海鮮館 ,https://www.iyp.com.tw/082331196, ,http://
滿福樓企業社,https://www.iyp.com.tw/052366665,main.flow@msa.hinet.net,http://www.main-flow.com.tw
小琉球見煮餐廳,https://www.iyp.com.tw/088612239,sandy00083@yahoo.com.tw,http://www.ss.net.tw/jj/
布袋和尚海產（郭大慶）,https://www.iyp.com.tw/087225249,zz175834@cht.com.tw,
政鶴活鰻８９吃專賣,https://www.iyp.com.tw/088669492-2,p3301253@yahoo.com.tw,http://www.manyu.com.tw
新東港黑鮪魚生魚片專賣店,https://www.iyp.com.tw/087801604,horse588@yahoo.com.tw,http://www.neb.com.tw
朋億同福海鮮館,https://www.iyp.com.tw/088335559,y_s_c77@yahoo.com.tw,http://www.toroworld.com.tw/index.htm
福灣莊園,https://www.iyp.com.tw/088320888-2,villafuwan@gmail.com,http://www.fuwan.com.tw/
阿標海產店,https://www.iyp.com.tw/037462833,nto@ms9.hinet.net,
高興飲食店,https://www.iyp.com.tw/088782403,t12148@ms34.hinet.net,http://www.kao-shin.com.tw
港口海產店,https://www.iyp.com.tw/089281607,vgnest612@yahoo.com.tw,
大鼎活蝦餐廳股份有限公司,https://www.iyp.com.tw/0422320232,hq@top-d.com.tw,http://www.top-d.com.tw
易鼎活蝦餐廳台中店,https://www.iyp.com.tw/0423113202,hq@top-d.com.tw,http://www.top-d.com.tw
黃進益,https://www.iyp.com.tw/062746243,arcoa5015@yahoo.com.tw,
富基漁港熊媽媽海鮮,https://www.iyp.com.tw/0226380645-1,r2230363@ms52.hinet.net,http://www.iyp.com.tw/0226380645/
九御亭創意海鮮料理坊,https://www.iyp.com.tw/039374529,jiouyuting@gmail.com,http://https://www.facebook.com/jiouyuting.restaurant
易鼎活蝦餐廳大里店,https://www.iyp.com.tw/0424819393,hq@top-d.com.tw,http://www.top-d.com.tw
海岸海鮮餐廳,https://www.iyp.com.tw/056932251,kec911@pchome.com.tw,
林儀餐廳,https://www.iyp.com.tw/047617855,vividwu@chtc.com.tw,
易鼎活蝦餐廳桃園店,https://www.iyp.com.tw/033171651,hq@top-d.com.tw,http://www.top-d.com.tw
心蘭石門活魚餐廳,https://www.iyp.com.tw/034713866,besty331@yahoo.com.tw,
心蘭餐廳,https://www.iyp.com.tw/034713992,sung@ms.emome.net,http://www.shinlan.com.tw
易鼎活蝦餐廳光復店,https://www.iyp.com.tw/0227790456,hq@top-d.com.tw,http://www.top-d.com.tw
東黃金海岸活蝦之家,https://www.iyp.com.tw/0227891705,tracy@mdac.com.tw,
漁協館,https://www.iyp.com.tw/0225037165-2,a25045358@hotmail.com,
醉谷海產店,https://www.iyp.com.tw/055343258,a383301@yahoo.com.tw,http://hipage.hinet.net/drinking
黃金海岸活蝦之家,https://www.iyp.com.tw/0227686622,tracy@mdac.com.tw,
一六八澎湖風櫃海產,https://www.iyp.com.tw/072720192-1,seafood_168@pchome.com.tw,
中天海產樓,https://www.iyp.com.tw/0224965699,cherry830319@yahoo.com.tw,
味味海鮮餐廳,https://www.iyp.com.tw/0226383428,dn8989.dm8989@yahoo.com.tw,
味香燒烤海鮮,https://www.iyp.com.tw/0224924232,lovetkkcc@hotmail.com,
潮汕沙鍋粥,https://www.iyp.com.tw/0222525088,leechingfu8118@yahoo.com.tw,
深海鮮魚湯,https://www.iyp.com.tw/067800096,iuak4747@yahoo.com.tw,
堯哥海鮮,https://www.iyp.com.tw/075721633,aa-yao@yahoo.com.tw,
旗津海產店,https://www.iyp.com.tw/075718771,as5710782@yahoo.com.tw,
