NAME,URL,EMAIL,WEBSITE
清真黃牛肉麵館,https://www.iyp.com.tw/0223318203,aa31370@yahoo.com.tw,https://www.facebook.com/Yushan23318203/
海瑞摃丸 Hai Rei Foods,https://www.iyp.com.tw/035261115,hrservice@yahoo.com.tw,http://www.haireishop.com.tw/
九斤二日式無煙燒肉 台北餐廳/台北燒肉餐廳,https://www.iyp.com.tw/0227534591,s972.s972@gmail.com,http://www.facebook.com/972ya
桃園市小吃業職業工會,https://www.iyp.com.tw/034254252,jim777666@yahoo.com.tw,https://www.facebook.com/桃園市小吃米食職業工會-1713162378770410/
纏記食品行,https://www.iyp.com.tw/072363618,alfa19680610@yahoo.com.tw,http://www.taitung-buns.com.tw
大象手作包子饅頭,https://www.iyp.com.tw/0229897416,elephantqmantou@gmail.com,http://www.elephantmantou.com
頭前園餐廳,https://www.iyp.com.tw/076366688,tw6366688@yahoo.com.tw,http://www.tcyr.com.tw
邱麻麻鍋底專家-麻辣鍋底推薦、麻辣鍋底宅配、火鍋鍋,https://www.iyp.com.tw/0980170720,chiumama1102@gmail.com,http://www.chiumama.com.tw
二撇薑母鴨,https://www.iyp.com.tw/056973600,tp.d1970@msa.hinet.net,http://tpd.myweb.hinet.net
甲仙-仙香飯店,https://www.iyp.com.tw/076751142,hyde4040@gmail.com,https://restaurant-73234.business.site/?m=true
黃美玉,https://www.iyp.com.tw/055336072-1,tongtong.m3@gmail.com,http://www.deng-ji.com.tw
陳有圭,https://www.iyp.com.tw/069981128,yukuei.chen001@msa.hinet.net,http://cs-restaurant.myweb.hinet.net/
林月冰舖,https://www.iyp.com.tw/035871222-1,duyuspring@yahoo.com.tw,http://www.iyp.com.tw/035871222
彰化肉圓,https://www.iyp.com.tw/038564410,chen.weiming@msa.hinet.net,http://www.bawan.com.tw
榮記,https://www.iyp.com.tw/035238238,calebwu@yahoo.com.tw,
牛巴達全牛專賣店,https://www.iyp.com.tw/038537979-3,fu8537979@yahoo.com.tw,
花蓮香扁食東華店,https://www.iyp.com.tw/038663668,note159357@gmail.com,http://hipage.hinet.net/038663668
藍藍海鮮飲食餐廳,https://www.iyp.com.tw/038611627-1,scare.crow1021@yahoo.com.tw,http://www.iyp.com.tw
陳文華,https://www.iyp.com.tw/076881136,ace@mail.chc.edu.tw,
順美飲食店,https://www.iyp.com.tw/076811334,s064068@cht.com.tw,
千代采食,https://www.iyp.com.tw/0228711087,hbentobox@gmail.com,https://www.facebook.com/hbentobox/
巧巧小肉粽,https://www.iyp.com.tw/052254503-1,chowchow@mail.ehosting.com.tw,http://chowchow.ehosting.com.tw/
陳家香雞魯飯,https://www.iyp.com.tw/052852686,papa85710@gmail.com,
芳記,https://www.iyp.com.tw/082373459,mhtiin@ms33.hinet.net,
陳振益,https://www.iyp.com.tw/082334765,jnyechen@yahoo.com.tw,
上好佳,https://www.iyp.com.tw/087880011,tseng1212@yahoo.com.tw,http://hipage.hinet.net/ShangHaoJia
又一村小吃店,https://www.iyp.com.tw/087217359-1,zz175834@cht.com.tw,
老東台米台目屋,https://www.iyp.com.tw/089348952,mitaimu.wu@msa.hinet.net,
海上鮮小吃店,https://www.iyp.com.tw/037626643,winer@chtc.com.tw,http://hipage.hinet.net/福爾摩莎
恆春米糕城,https://www.iyp.com.tw/088895220,love979520@yahoo.com.tw,http://hipage.hinet.net/MiGaoCheng
明溪飯店,https://www.iyp.com.tw/088823625,zz175834@cht.com.tw,
劉士賢,https://www.iyp.com.tw/062617872,i-ho@i-ho.com,
鄭玉英,https://www.iyp.com.tw/037758781,fet955889@yahoo.com.tw,
萬泰豬腳,https://www.iyp.com.tw/087812558-1,oldflowers@yahoo.com.tw,http://www.wantai2558.com.tw
吳榮輝,https://www.iyp.com.tw/062694287,jason223@ms27.hinet.net,
周氏蝦捲有限公司,https://www.iyp.com.tw/062801304,maxjaiga@giga.net.tw,http://www.chous.com.tw
陳淑貞,https://www.iyp.com.tw/088354079,cwccc@seednet.tw,
陳清祥,https://www.iyp.com.tw/087754540,chen5507@ms41.hinet.net,
陳福興,https://www.iyp.com.tw/087384640,qsc1@m1.ydjh.chc.edu.tw,http://www.lion-hotel.com.tw/
客再來當歸鴨店,https://www.iyp.com.tw/062223360,r87134182@yahoo.com.tw,http://www.kzl.com.tw
天天來小吃部,https://www.iyp.com.tw/089310651,ddcome@mail.ehosting.com.tw,
黃美珠,https://www.iyp.com.tw/089318148,ah0218@mail.ncpes.edu.tw,
阿秀古早味肉粽,https://www.iyp.com.tw/062232383,ling6162.tw@yahoo.com.tw,http://home.pchome.com.tw/good/hsiu6162/
陳宏安,https://www.iyp.com.tw/062756590,eddychen0724@hotmail.com,
陳家蚵捲,https://www.iyp.com.tw/062229661,cjkj9661@seed.net.tw,http://www.cjkj.com.tw
林陳註,https://www.iyp.com.tw/067839308,c86050@yahoo.com.tw,
田媽媽鵝肉店 ,https://www.iyp.com.tw/066792318,goose.food@msa.hinet.net ,http://
簡麗華,https://www.iyp.com.tw/066984471,p820604.lee@msa.hinet.net,
谷明土雞山莊,https://www.iyp.com.tw/0422391803,thomas@liu.com,http://www.gooming.com
松峰小吃店,https://www.iyp.com.tw/0226485535,service@taiwangobe.com.tw,http://gojoyway.twcom.net/
劉家桂花燒雞店,https://www.iyp.com.tw/075819402,e6303kimo@yahoo.com.tw,http://www.5819402.com.tw
草地人蚵仔麵線店,https://www.iyp.com.tw/0222578966,caodiren@gmail.com,http://hipage.hinet.net/cdr
碧田家-傳統美食之家,https://www.iyp.com.tw/048713163,8713163@gmail.com,http://www.8713163.com
水聲飲食店,https://www.iyp.com.tw/0425825008,ricky670411@yahoo.com.tw,
蘭香美食,https://www.iyp.com.tw/035798063-2,a0989708583@gmail.com,https://www.iyp.com.tw/035798063/
四海遊龍鍋貼水餃專賣店(明志店),https://www.iyp.com.tw/0229018188,hsuhongtao@gmail.com,
元發飲食店,https://www.iyp.com.tw/033822860,aspmaggie@hotmail.com,
富寶水餃大王,https://www.iyp.com.tw/048352272,a8352272@yahoo.com.tw,http://048352272.travel-web.com.tw/
彰化肉圓,https://www.iyp.com.tw/047227868,ing256678@yahoo.com.tw,http://www.QQtw.com.tw
王翔世,https://www.iyp.com.tw/047266697,sammy55@ms13.hinet.net,
張順利,https://www.iyp.com.tw/034682828,unicornsa2001@yahoo.com.tw,
劉漣麵-昌平店,https://www.iyp.com.tw/0422332481,liuliannshop@gmail.com,https://www.facebook.com/liuliannshop
黃德隆,https://www.iyp.com.tw/048963935,universalbus@pchome.com.tw,
洪芋頭擔仔麵中壢店,https://www.iyp.com.tw/032813272,mornishong1212@yahoo.com.tw,
游財寶,https://www.iyp.com.tw/033862569,h25985@ms10.hinet.net,
蓮香小吃店,https://www.iyp.com.tw/032225656,prec@ms32.hinet.net,
阿堂魷魚粳,https://www.iyp.com.tw/0492902209,av990022@yahoo.com.tw,
紅仕食品小吃-筒仔米糕/雪花冰 批發,https://www.iyp.com.tw/0226188615-1,sfc888s@yahoo.com.tw,https://www.iyp.com.tw/0226188799/
陳昭君,https://www.iyp.com.tw/034788611,3ivy@kimo.com,
鉅佳三媽小吃店,https://www.iyp.com.tw/0225324985,kleo0821@xuite.net,http://www.sanma.com.tw
阿潘廚房小吃店,https://www.iyp.com.tw/0225045159,a_pan_taiwan@yahoo.com.tw,http://www.apan.com.tw/
簡師傅牛排館,https://www.iyp.com.tw/077781118,neilchien666888@hotmail.com,http://https://www.facebook.com/pages/%E7%B0%A1%E5%B8%AB%E7%88%B6%E7%89%9B%E6%8E%92%E9%A4%A8/457879317578965?fref=ts
橘熊屋親子餐廳,https://www.iyp.com.tw/073106138,vivi798123@yahoo.com.tw,http://https://www.facebook.com/OrangeBearHouse?fref=ts
丹淳咖啡,https://www.iyp.com.tw/072225055-1,jill4860@gmail.com,http://https://www.facebook.com/DanChunKaFei
旅行地圖-香蕉鮮奶酪,https://www.iyp.com.tw/076622238,myopia1115@yahoo.com.tw,
茉莉輕食咖啡,https://www.iyp.com.tw/072168222,pass.debby@yahoo.com.tw,http://https://www.facebook.com/pages/%E8%8C%89%E8%8E%89%E8%BC%95%E9%A3%9F%E5%92%96%E5%95%A1/488534147824093
展之勝創意養生鍋物,https://www.iyp.com.tw/062907911,s6673522@hotmail.com,
KLG卡拉雞(東門店),https://www.iyp.com.tw/062350261,klgeast@gmail.com,
糕粽狀元工作坊,https://www.iyp.com.tw/035831536,zongzishop@gmail.com,
方圓百里,https://www.iyp.com.tw/0492988521,asd09210935@yahoo.com.tw,
首爾牛骨湯小吃店,https://www.iyp.com.tw/0225978346,kimyb886@ms29.hinet.net,http://www.twkrfood.com.tw
新圓鑫餐廳,https://www.iyp.com.tw/0286654688,cyc@58168.net,
鴨肉真,https://www.iyp.com.tw/0286917558,duck_22119977@yahoo.com.tw,
茂霖食品股份有限公司,https://www.iyp.com.tw/065100599,linbio@ms27.hinet.net,
