NAME,URL,EMAIL,WEBSITE
 ,https://www.iyp.com.tw/0229762008,wintea.h630605@yahoo.com.tw,http://www.wintea.com.tw
仙山茶莊 苗栗高山茶/比賽茶/東方美人茶,https://www.iyp.com.tw/037931200,a931200@gmail.com,http://www.facebook.com/931200.com.tw
中興製茶所－李健誠(中興製茶廠),https://www.iyp.com.tw/052562778,rocke66238@gmail.com,http://www.facebook.com/leye238.tw/
有嘉木茶研所,https://www.iyp.com.tw/052593135,rscafeart@yahoo.com.tw,http://www.alishan-tea.tw
羽軒茶莊,https://www.iyp.com.tw/038510739,sheiw.wei@msa.hinet.net,
九戶茶語/輕便驛,https://www.iyp.com.tw/0224063388,jadering@hotmail.com,http://www.kunohe.com.tw
綠爵輕食館 LEISURELY CAFÉ,https://www.iyp.com.tw/0424377860,leisurely.cafe@gmail.com,http://https://www.facebook.com/leisurelyNcafe
樺園素食,https://www.iyp.com.tw/0422201088,nogagulan@yahoo.com.tw,http://0422201088.travel-web.com.tw/
李文福,https://www.iyp.com.tw/033242128,cpchen12311@cht.com.tw,http://www.123.com1
宅和企業有限公司,https://www.iyp.com.tw/0223062512,wonderfl@ms17.hinet.net,
興華名茶,https://www.iyp.com.tw/0223947701,tea@verytea.com.tw,http://www.verytea.com.tw
莊茶 Chuang's Tea,https://www.iyp.com.tw/039883979,teachuang8888@gmail.com,https://www.chuangstea.com/
九份茶語,https://www.iyp.com.tw/0224063388,jadering@hotmail.com,http://www.kunohe.com.tw
耕讀園-師大店,https://www.iyp.com.tw/0723698667,teanet@msa.hinet.net,
三元茶園(原名為山本農場),https://www.iyp.com.tw/039801807,aue807@yahoo.com.tw,
大茶壺茶棧,https://www.iyp.com.tw/0229395615,sakusun2000@yahoo.com.tw,
公主紅茶莊園,https://www.iyp.com.tw/062228340,princessteamanor@gmail.com,http://princessteamanor.blogspot.com
愛嬌姨風味茶餐,https://www.iyp.com.tw/089550678,b0635@ms23.hinet.net,https://www.facebook.com/ije291
